day,time,src,dst,relation
5.0,0.0,40,40,5
0.0,0.0,41,50,2
0.0,0.0,41,49,2
0.0,0.0,41,48,2
0.0,0.0,41,47,2
0.0,0.0,46,41,1
0.0,0.0,46,41,1
363.0,78900000.0,49,49,4
366.0,47586000.0,49,49,4
0.0,0.0,51,40,2
0.0,0.0,51,40,1
0.0,0.0,51,40,1
373.0,56428000.0,52,52,4
373.0,57039000.0,52,52,4
373.0,57629000.0,52,52,4
0.0,0.0,54,51,1
0.0,0.0,54,51,1
0.0,0.0,54,51,1
0.0,0.0,54,51,1
0.0,0.0,54,51,1
0.0,0.0,54,51,1
0.0,0.0,54,51,1
0.0,0.0,55,66,2
0.0,0.0,55,65,2
0.0,0.0,55,64,2
0.0,0.0,55,70,2
0.0,0.0,55,69,2
0.0,0.0,55,68,2
0.0,0.0,55,67,2
0.0,0.0,55,75,2
0.0,0.0,55,76,2
0.0,0.0,55,74,2
0.0,0.0,55,51,2
0.0,0.0,55,73,2
0.0,0.0,55,72,2
0.0,0.0,55,71,2
0.0,0.0,55,51,1
0.0,0.0,55,51,1
0.0,0.0,55,51,1
0.0,0.0,55,51,1
0.0,0.0,55,51,1
0.0,0.0,55,51,1
0.0,0.0,55,51,1
0.0,0.0,56,63,2
0.0,0.0,56,51,1
0.0,0.0,56,51,1
0.0,0.0,56,51,1
0.0,0.0,56,51,1
0.0,0.0,56,51,1
0.0,0.0,56,51,1
0.0,0.0,56,51,1
0.0,0.0,57,51,1
0.0,0.0,57,51,1
0.0,0.0,57,51,1
0.0,0.0,57,51,1
0.0,0.0,57,51,1
0.0,0.0,57,51,1
0.0,0.0,57,51,1
0.0,0.0,58,51,1
0.0,0.0,58,51,1
0.0,0.0,58,51,1
0.0,0.0,58,51,1
0.0,0.0,58,51,1
0.0,0.0,58,51,1
0.0,0.0,58,51,1
0.0,0.0,59,51,1
0.0,0.0,59,51,1
0.0,0.0,59,51,1
0.0,0.0,59,51,1
0.0,0.0,59,51,1
0.0,0.0,59,51,1
0.0,0.0,59,51,1
0.0,0.0,60,51,1
0.0,0.0,60,51,1
0.0,0.0,60,51,1
0.0,0.0,60,51,1
0.0,0.0,60,51,1
0.0,0.0,61,51,1
0.0,0.0,61,51,1
0.0,0.0,61,51,1
0.0,0.0,62,51,1
0.0,0.0,62,51,1
