userId,sex,timePassedValidation,ageGroup,fans_count,follows_count,weibos_count,label
562,f,,,33,2242,230,0
563,m,,,6115,847,183,0
564,f,,,74000,739,971,0
565,m,,,313,383,208,0
566,f,,,62,1718,1136,0
567,f,,,25000,405,1050,0
568,f,,,28000,334,576,0
569,f,,,37000,468,108,0
570,m,,,2465,314,1310,0
571,m,,,8455,824,9117,0
572,m,,,2020,447,712,0
573,f,,,6732,90,589,1
574,m,,,407,482,1745,0
575,m,,,18000,1234,1082,0
576,f,,,75000,119,543,0
577,f,,,23000,551,737,0
578,f,,,109000,232,1012,0
579,m,,,24000,868,3574,0
580,f,,,4483,725,156,0
581,f,,,7845,639,33575,0
582,m,,,52000,685,797,0
583,m,,,6559,581,147,0
584,m,,,9985,997,20321,0
585,f,,,1439,793,812,0
586,f,,,4003,325,2135,0
587,m,,,935,56,214,0
588,m,,,32000,1130,25230,0
589,m,,,11000,2465,2376,0
590,m,,,92000,1156,2192,0
591,m,,,42000,778,13142,0
592,f,,,2,275,6,0
593,f,,,408,2751,5377,0
594,f,,,53,171,266,0
595,m,,,3,802,46,0
596,m,,,89,4414,2179,0
597,m,,,86,469,104,0
598,f,,,86,709,4037,0
599,m,,,89,37,34,0
600,m,,,632,14,109,0
601,f,,,1,47,0,1
602,f,,,66,2284,1971,0
603,f,,,40000,748,18881,0
604,m,,,9,2615,3,0
605,f,,,6492,2033,18490,0
606,m,,,1,253,21,0
607,m,,,2223,1813,778,0
608,f,,,43000,1189,2213,0
609,f,,,167000,69,941,0
610,f,,,7076,1057,167,0
611,f,,,26000,1,142,1
612,f,,,6515,378,688,0
613,f,,,21000,500,75,0
614,m,,,15000,382,2890,0
615,f,,,24000,669,307,0
616,m,,,6602,13,21,0
617,f,,,13000,325,393,0
618,f,,,2172,1536,10175,0
619,f,,,1,330,31,1
620,f,,,917,675,2042,0
621,f,,,3468,32,328,0
622,f,,,3108,971,7429,0
623,f,,,1156,1082,1212,0
624,f,,,15000,981,3594,0
625,f,,,2533,38,626,0
626,m,,,3622,387,16412,0
627,f,,,905,243,10455,0
628,f,,,214,139,2163,0
629,m,,,10000,1745,4602,0
630,f,,,52000,2118,1813,0
631,f,,,7390,1845,14866,0
632,m,,,6,180,62,0
633,m,,,629,4,27,1
634,f,,,284,98,90,0
635,m,,,3,295,210,0
636,f,,,156,1285,887,0
637,f,,,388,334,15430,0
638,f,,,1,278,81,0
639,f,,,7,212,189,0
640,f,,,85,862,2293,0
641,m,,,12,206,77,0
642,m,,,14,1460,308,0
643,f,,,3,112,74,0
644,f,,,66,670,2415,0
645,f,,,15,803,1441,0
646,f,,,1,255,5,0
647,f,,,112,1068,2237,0
648,f,,,347000,250,9147,0
649,m,,,11000,1131,6836,0
650,m,,,617,72,271,0
651,f,,,7876,1378,24862,0
652,f,,,16000,197,226,0
653,m,,,805000,2,2633,0
654,f,,,90000,1327,3452,0
655,m,,,6914,486,3180,0
656,m,,,16000,112,2450,0
657,m,,,60000,6,1,0
658,f,,,4372,684,875,0
659,m,,,3954,1742,2433,0
660,m,,,8920,4297,10724,0
661,f,,,12000,275,90,0
662,f,,,12,233,2,0
663,f,,,37000,1036,10325,0
664,f,,,4972,601,1374,0
665,f,,,56,407,581,0
666,f,,,31000,931,464,0
667,f,,,1563,896,11734,0
668,f,,,13000,1179,2507,1
669,f,,,3417,1615,972,0
670,f,,,14000,977,1647,0
671,m,,,7630,110,706,0
672,m,,,691000,278,1238,0
673,f,,,7817,4814,117034,0
674,m,,,1699,2887,7263,0
675,f,,,20000,34,11,0
676,m,,,5622,506,1975,0
677,m,,,39000,476,1319,0
678,m,,,57000,408,1079,0
679,f,,,2728,308,5452,0
680,f,,,16000,794,1881,0
681,f,,,16000,1706,4309,0
682,f,,,1245,630,521,0
683,f,,,36000,322,1246,0
684,m,,,11000,2704,9005,0
685,f,,,797,59,8231,0
686,f,,,8,448,679,0
687,f,,,242,4297,6076,0
688,m,,,4614,965,21612,0
689,m,,,839,44,40,0
690,m,,,13000,902,9,0
691,f,,,1471,296,36,0
692,f,,,13000,180,521,0
693,f,,,1345,323,677,0
694,m,,,2585,26,381,0
695,f,,,3431,266,2883,0
696,f,,,4527,286,20714,0
697,f,,,9379,2124,1150,0
698,f,,,103,285,263,0
699,m,,,1232,1983,3352,0
700,f,,,138,2,49,0
701,m,,,12000,1152,957,0
702,m,,,804,831,660,0
703,f,,,10000,257,1629,0
704,f,,,2409,457,724,0
705,m,,,264,270,1257,0
706,f,,,61,144,453,0
707,f,,,12000,926,218,0
708,m,,,389,2063,593,0
709,f,,,1,48,92,0
710,f,,,11000,1530,1601,0
711,f,,,2,838,248,0
712,f,,,173,194,1407,0
713,f,,,3538,1089,1164,0
714,m,,,8211,2715,12456,0
715,m,,,15000,1701,5542,0
716,m,,,6060,947,1796,0
717,m,,,11000,397,326,0
718,f,,,2280,1578,2904,0
719,f,,,14000,537,4091,0
720,m,,,3290,307,68,0
721,f,,,2040,1830,2750,0
722,f,,,1938,117,1247,0
723,f,,,3634,95,1098,0
724,f,,,263,107,280,0
725,f,,,3211,512,666,0
